City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,94,0,4.47,RU,1689969334
1,tiksi,71.6872,128.8694,45.37,67,22,7.9,RU,1689969334
2,edinburgh of the seven seas,-37.0676,-12.3116,53.91,61,100,16.93,SH,1689969334
3,bethel,41.3712,-73.414,84.88,67,20,12.66,US,1689969288
4,rio grande,-32.035,-52.0986,77.11,87,8,14.29,BR,1689969335
5,moranbah,-22.0016,148.0466,64.6,48,100,9.33,AU,1689969335
6,polyarnyy,69.1989,33.4478,48.02,82,100,16.62,RU,1689969335
7,port-aux-francais,-49.35,70.2167,33.19,61,100,38.97,TF,1689969336
8,santana,-0.0583,-51.1817,84.38,79,75,14.97,BR,1689969336
9,veraval,20.9,70.3667,81.68,86,100,14.67,IN,1689969336
10,anadyr,64.75,177.4833,63.1,77,20,4.47,RU,1689969336
11,pamanukan,-6.2842,107.8106,74.16,77,13,5.19,ID,1689969337
12,longyearbyen,78.2186,15.6401,44.44,81,100,13.8,SJ,1689969337
13,utrik,11.2278,169.8474,83.17,74,94,18.39,MH,1689969337
14,atafu village,-8.5421,-172.5159,83.57,73,56,11.41,TK,1689969338
15,aykhal,66.0,111.5,60.58,87,74,14.0,RU,1689969338
16,holualoa,19.6228,-155.9522,78.64,84,75,5.99,US,1689969338
17,conduaga,8.862,117.4893,78.75,89,100,11.81,PH,1689969338
18,obo,5.3998,26.4869,70.09,91,79,0.87,CF,1689969339
19,puerto natales,-51.7236,-72.4875,28.53,95,100,6.62,CL,1689969339
20,fort bragg,35.139,-79.006,95.92,44,75,12.66,US,1689969240
21,nasirabad,26.3,74.7333,86.54,67,100,5.5,IN,1689969340
22,grytviken,-54.2811,-36.5092,35.08,98,100,14.99,GS,1689969340
23,waitangi,-43.9535,-176.5597,51.82,96,100,3.0,NZ,1689969340
24,guerrero negro,27.9769,-114.0611,76.1,60,100,15.82,MX,1689969340
25,sydney,-33.8679,151.2073,47.28,73,4,12.66,AU,1689969232
26,adamstown,-25.066,-130.1015,70.16,69,50,28.63,PN,1689969341
27,stanley,54.868,-1.6985,56.28,91,98,4.07,GB,1689969341
28,talnakh,69.4865,88.3972,67.21,74,100,6.15,RU,1689969342
29,haiku-pauwela,20.9219,-156.3051,83.17,63,20,19.57,US,1689969342
30,rayevskiy,54.0658,54.9468,63.9,65,100,7.2,RU,1689969342
31,thompson,55.7435,-97.8558,68.16,68,100,9.22,CA,1689969342
32,baglung,28.2719,83.5898,72.75,92,72,1.25,NP,1689969343
33,hammerfest,70.6634,23.6821,50.45,81,0,13.8,NO,1689969343
34,college,64.8569,-147.8028,74.46,64,0,0.0,US,1689969343
35,ribeira grande,38.5167,-28.7,70.2,88,75,4.61,PT,1689969344
36,kruisfontein,-34.0033,24.7314,54.88,63,2,7.76,ZA,1689969344
37,west island,-12.1568,96.8225,76.98,78,40,12.66,CC,1689969344
38,ancud,-41.8697,-73.8203,49.62,88,100,18.05,CL,1689969344
39,madera,37.1666,-119.8343,104.86,26,1,6.35,US,1689969345
40,chibougamau,49.9168,-74.3659,62.22,88,100,4.09,CA,1689969345
41,hasaki,35.7333,140.8333,75.31,86,3,7.96,JP,1689969345
42,al kharijah,25.4514,30.5464,92.97,15,2,11.3,EG,1689969346
43,kodiak,57.79,-152.4072,56.71,82,0,5.75,US,1689969346
44,kolonia town,6.964,158.206,82.44,81,100,19.53,FM,1689969346
45,kharan,28.5833,65.4167,92.71,34,99,2.3,PK,1689969346
46,princeville,45.7668,-61.2985,79.75,80,40,12.66,CA,1689969347
